HALTER_ID,OWNER_AGE,GENDER,CITY,DISTRICT,BREED1,BREED1_MUTT,BREED2,BREED2_MUTT,RASSENTYP,BIRTH_YEAR_DOG,GENDER_DOG,DOG_COLOR
80885,81-90,m,7,72,West Highland White Terrier,,,,K,2005,w,weiss
80888,61-70,w,7,72,Deutscher Boxer,,,,I,2011,w,hirschrot
80890,61-70,m,7,73,Pinscher,Mischling,,,K,2004,w,tricolor
80896,81-90,m,7,74,Malteser,,,,K,2009,w,weiss
80897,41-50,w,7,71,Lagotto Romagnolo,,,,I,2011,w,braun
80915,71-80,w,3,34,Golden Retriever,,,,I,2006,w,blondfarben
80916,41-50,w,9,92,Groenendael,,,,I,2010,w,schwarz
80916,41-50,w,9,92,Tervueren,,Belgischer Schäfer,,I,2003,w,braun
80940,61-70,w,7,71,Mischling klein,,,,K,2011,w,schwarz/braun
80950,61-70,w,7,73,Rhodesian Ridgeback,,,,I,2009,m,rot
80956,91-100,m,7,73,Coton de Tulear,,,,K,2009,w,weiss
80957,51-60,w,7,74,Riesenschnauzer,,,,I,2012,w,schwarz
80960,71-80,w,7,72,Mops,,,,K,2007,m,schwarz
80972,71-80,m,7,74,Hovawart,,,,I,2014,m,schwarz
80978,51-60,w,9,92,Mischling klein,,,,K,2012,m,tricolor
80982,61-70,w,10,101,Dachshund,,,,K,2010,m,schwarz gestromt
80986,71-80,w,11,111,Border Collie,Mischling,,,I,2001,w,schwarz/braun/weiss
80999,61-70,w,10,101,West Highland White Terrier,,,,K,2000,w,weiss
81001,61-70,m,10,101,Deutscher Boxer,,,,I,2003,w,rot
81004,61-70,w,9,92,Scottish Terrier,,,,K,2006,m,brindle
81004,61-70,w,9,92,Scottish Terrier,,,,K,2013,m,schwarz
81018,81-90,w,10,101,Tervueren,,,,I,2005,w,braun
81027,61-70,w,8,82,Parson Jack Russell Terrier,,,,K,2000,w,weiss/braun
81042,41-50,w,2,21,Dackel,,Foxterrier,,K,2011,m,braun/weiss
81042,41-50,w,2,21,Mischling klein,,,,K,2008,w,tricolor
81043,71-80,m,10,101,Zwergpudel,,,,K,2003,m,braun
81045,61-70,w,6,63,Zwergrauhaardackel,,,,K,2009,w,saufarben
81050,61-70,w,5,52,Labrador Retriever,,,,I,2002,w,schwarz
81050,61-70,w,5,52,Labrador Retriever,,,,I,2005,m,schwarz
81050,61-70,w,5,52,Labrador Retriever,,,,I,2009,m,schwarz
81054,51-60,w,1,11,Labrador Retriever,,Golden Retriever,,I,2004,m,gold/sable
81054,51-60,w,1,11,Mops,,,,K,2011,m,schwarz
81064,61-70,w,8,83,Labrador Retriever,,,,I,2009,w,braun
81072,51-60,w,7,71,Mischling klein,,,,K,2008,w,braun/weiss
81091,61-70,w,7,71,Labrador Retriever,,,,I,2004,m,braun
81092,81-90,w,7,74,Foxterrier,,,,K,2003,m,saufarben
81096,81-90,w,7,71,Dackel,,,,K,2002,m,rot
81097,61-70,w,7,72,Golden Retriever,,,,I,2013,w,golden
81100,51-60,w,7,73,Mischling klein,,,,K,2009,m,braun
81100,51-60,w,7,73,Mischling klein,,,,K,2011,w,rot/braun
81107,71-80,w,7,74,Deutscher Schäfer,,,,I,2011,m,schwarz/gelb
81112,71-80,m,7,74,Australian Shepherd,Mischling,,,I,2009,m,blue/merle
81116,51-60,w,7,74,Französische Bulldogge,,Mops,,K,2014,w,beige/schwarz
81132,31-40,m,7,73,Mischling klein,,,,K,2010,w,schwarz/braun
